crossroad,count,mean,std,min,25%,50%,75%,max
A,669.0,17.4813153961136,45.48884538603467,0.0,0.0,7.0,14.0,471.0
B,607.0,12.542009884678748,37.020837026889595,0.0,0.0,0.0,14.0,289.0
C,670.0,19.05820895522388,51.40147569683943,0.0,0.0,7.0,14.0,639.0
D,621.0,18.122383252818036,49.34690726120968,0.0,0.0,7.0,14.0,555.0
E,419.0,15.498806682577566,50.991151061834884,0.0,0.0,0.0,7.0,303.0
F,682.0,22.331378299120235,55.903250656175295,0.0,0.0,7.0,21.0,646.0
G,690.0,24.36521739130435,54.64443670956228,0.0,0.0,7.0,21.0,485.0
H,661.0,23.43267776096823,50.800325908050894,0.0,0.0,7.0,21.0,555.0
I,646.0,16.888544891640866,41.51988363175053,0.0,0.0,7.0,14.0,324.0
