crossroad,count,mean,std,min,25%,50%,75%,max
A,699.0,17.745350500715308,16.788362065550707,8.0,8.0,17.0,26.0,205.0
B,734.0,14.76158038147139,13.735032859409372,5.0,5.0,14.0,23.0,157.0
C,687.0,16.326055312954875,16.134771480975232,7.0,7.0,16.0,16.0,177.0
D,705.0,16.285106382978725,18.691260020676552,6.0,6.0,15.0,24.0,203.0
E,632.0,9.930379746835444,14.266811014642098,1.0,1.0,10.0,10.0,144.0
F,738.0,14.037940379403794,14.093164411638808,4.0,4.0,13.0,22.0,174.0
G,776.0,11.963917525773196,13.332520981793479,2.0,2.0,11.0,20.0,145.0
H,862.0,11.235498839907192,13.268827429055017,0.0,0.0,9.0,18.0,143.0
I,728.0,12.17445054945055,13.269549424378525,3.0,3.0,12.0,21.0,146.0
