crossroad,count,mean,std,min,25%,50%,75%,max
A,973.0,38.56115107913669,26.200430593459856,18.0,18.0,36.0,54.0,152.0
B,987.0,31.195542046605876,18.661641309762775,18.0,18.0,18.0,36.0,144.0
C,940.0,61.840425531914896,40.751252799362604,18.0,18.0,54.0,90.0,198.0
D,913.0,37.2289156626506,25.258166054592014,18.0,18.0,36.0,54.0,170.0
E,767.0,20.383311603650586,10.435635522471442,18.0,18.0,18.0,18.0,152.0
F,962.0,44.33679833679834,32.237846524413044,18.0,18.0,36.0,54.0,180.0
G,1040.0,113.61730769230769,84.92131719430024,18.0,36.0,90.0,180.0,324.0
H,1104.0,77.81340579710145,52.64663123344613,18.0,36.0,72.0,108.0,288.0
I,971.0,31.45005149330587,18.886266419694927,18.0,18.0,18.0,36.0,134.0
