crossroad,count,mean,std,min,25%,50%,75%,max
A,98.0,45.07142857142857,49.31703664143643,7.0,7.0,21.0,56.0,190.0
B,88.0,34.02272727272727,46.309299300160994,7.0,7.0,14.0,29.75,190.0
C,107.0,37.81308411214953,52.95621738064798,7.0,7.0,21.0,35.0,330.0
D,97.0,55.08247422680412,69.40561188031627,7.0,14.0,28.0,56.0,477.0
E,49.0,65.46938775510205,68.90667058928824,7.0,7.0,21.0,120.0,211.0
F,106.0,35.179245283018865,41.240940631693675,7.0,7.0,21.0,40.25,176.0
G,113.0,45.14159292035398,43.92421786779011,7.0,14.0,28.0,56.0,239.0
H,120.0,40.11666666666667,44.16074216381993,7.0,14.0,21.0,42.0,176.0
I,112.0,38.732142857142854,46.93583546952851,7.0,7.0,21.0,42.0,217.0
