crossroad,count,mean,std,min,25%,50%,75%,max
A,816.0,17.862745098039216,9.57608392692107,16.0,16.0,16.0,16.0,112.0
B,934.0,109.9100642398287,107.67973058460912,16.0,16.0,48.0,240.0,352.0
C,737.0,19.994572591587517,12.40003387368085,16.0,16.0,16.0,16.0,128.0
D,821.0,20.014616321559075,13.13122440579302,16.0,16.0,16.0,16.0,160.0
E,736.0,21.32608695652174,12.201580087843023,16.0,16.0,16.0,16.0,112.0
F,868.0,171.72350230414747,176.23554818351602,16.0,32.0,64.0,384.0,560.0
G,891.0,193.1492704826038,127.92065284239489,16.0,32.0,224.0,304.0,448.0
H,1025.0,19.246829268292682,9.744116423670684,16.0,16.0,16.0,16.0,144.0
I,819.0,18.188034188034187,9.37242500806686,16.0,16.0,16.0,16.0,112.0
