crossroad,count,mean,std,min,25%,50%,75%,max
A,2936.0,24.23535422343324,26.25711144188211,7.0,7.0,14.0,28.0,385.0
B,2632.0,20.092325227963524,18.161367196478018,7.0,7.0,14.0,28.0,183.0
C,2938.0,26.079646017699115,26.901776991908722,7.0,7.0,14.0,35.0,357.0
D,2531.0,21.896878704069536,26.01966484474978,7.0,7.0,14.0,28.0,491.0
E,1483.0,14.539447066756575,18.63500620805425,7.0,7.0,7.0,14.0,211.0
F,3127.0,30.506555804285256,29.56522017972732,7.0,7.0,21.0,42.0,245.0
G,3917.0,45.26627521062037,47.53685005460742,7.0,14.0,28.0,56.0,518.0
H,3861.0,44.05180005180005,39.83718040979428,7.0,14.0,35.0,56.0,378.0
I,3294.0,28.677292046144505,28.124414284524597,7.0,7.0,21.0,35.0,266.0
