crossroad,count,mean,std,min,25%,50%,75%,max
A,553.0,49.43942133815551,56.60533051880189,7.0,7.0,28.0,70.0,317.0
B,472.0,31.73093220338983,41.80448955435112,7.0,7.0,14.0,35.0,261.0
C,564.0,41.530141843971634,44.92085970821108,7.0,14.0,28.0,56.0,401.0
D,438.0,44.71232876712329,57.835079847148045,7.0,7.0,21.0,56.0,478.0
E,259.0,30.613899613899616,60.87716027592945,7.0,7.0,7.0,14.0,324.0
F,573.0,65.29319371727749,57.76639027325421,7.0,21.0,49.0,91.0,310.0
G,634.0,128.49211356466876,152.65573438113498,7.0,28.0,63.0,189.0,777.0
H,630.0,110.41904761904762,109.51762546932662,7.0,35.0,77.0,161.0,665.0
I,526.0,42.14068441064639,49.29525408149614,7.0,7.0,21.0,56.0,273.0
