crossroad,count,mean,std,min,25%,50%,75%,max
A,440.0,23.704545454545453,34.50105115130011,7.0,7.0,14.0,28.0,245.0
B,417.0,22.14148681055156,31.3217120365325,7.0,7.0,14.0,21.0,238.0
C,438.0,19.210045662100455,31.095360665504728,7.0,7.0,7.0,21.0,280.0
D,414.0,25.582125603864736,36.14172760011939,7.0,7.0,14.0,28.0,280.0
E,201.0,24.796019900497512,48.091300503101415,7.0,7.0,7.0,14.0,259.0
F,495.0,26.783838383838383,32.69525187788653,7.0,7.0,14.0,35.0,224.0
G,683.0,77.97364568081991,85.3018920901965,7.0,28.0,49.0,84.0,588.0
H,634.0,41.30441640378549,37.24552938457917,7.0,14.0,28.0,56.0,245.0
I,515.0,28.502912621359222,33.05910123369221,7.0,7.0,14.0,35.0,231.0
