crossroad,count,mean,std,min,25%,50%,75%,max
A,122.0,33.278688524590166,63.865207006901755,0.0,0.0,7.0,21.0,386.0
B,114.0,23.92982456140351,49.572458685705115,0.0,0.0,7.0,14.0,218.0
C,115.0,29.88695652173913,64.37128667094927,0.0,0.0,7.0,17.5,414.0
D,117.0,38.00854700854701,79.47624842838222,0.0,0.0,7.0,28.0,498.0
E,91.0,34.714285714285715,66.39917765794087,0.0,0.0,0.0,21.0,232.0
F,120.0,25.533333333333335,52.76998340400899,0.0,0.0,7.0,15.75,316.0
G,124.0,28.266129032258064,57.199282056863396,0.0,0.0,7.0,21.0,316.0
H,126.0,27.150793650793652,46.42293699632844,0.0,0.0,14.0,26.25,218.0
I,120.0,26.0,50.08765425974446,0.0,0.0,7.0,14.0,211.0
