crossroad,count,mean,std,min,25%,50%,75%,max
A,482.0,34.69502074688797,45.81219385854191,7.0,7.0,21.0,35.0,252.0
B,442.0,23.6131221719457,31.207913842085997,7.0,7.0,14.0,28.0,231.0
C,500.0,27.734,32.53589422200735,7.0,7.0,14.0,35.0,238.0
D,434.0,29.20967741935484,40.94681728883305,7.0,7.0,14.0,35.0,399.0
E,216.0,23.430555555555557,45.39270294463808,7.0,7.0,7.0,14.0,238.0
F,506.0,34.47430830039526,38.46835309854925,7.0,7.0,21.0,42.0,224.0
G,634.0,70.59621451104101,63.34335121877685,7.0,28.0,56.0,91.0,441.0
H,618.0,46.8252427184466,39.05511059043497,7.0,21.0,35.0,63.0,231.0
I,527.0,34.402277039848194,37.03945890152527,7.0,7.0,21.0,42.0,231.0
