crossroad,count,mean,std,min,25%,50%,75%,max
A,555.0,51.83423423423424,56.53529534835332,7.0,14.0,28.0,70.0,296.0
B,449.0,28.85077951002227,48.13436834202409,7.0,7.0,14.0,28.0,261.0
C,597.0,51.74539363484087,56.310430623769776,7.0,14.0,35.0,63.0,450.0
D,413.0,32.60532687651332,56.25066705712073,7.0,7.0,14.0,28.0,513.0
E,208.0,33.50961538461539,64.45407985157489,7.0,7.0,7.0,14.0,303.0
F,602.0,51.89202657807309,65.77580008193435,7.0,14.0,28.0,56.0,415.0
G,630.0,117.9968253968254,183.11432307665072,7.0,14.0,35.0,105.0,784.0
H,658.0,119.65653495440729,126.0204156885668,7.0,21.0,70.0,189.0,602.0
I,516.0,38.439922480620154,45.32230076673177,7.0,7.0,21.0,49.0,282.0
