crossroad,count,mean,std,min,25%,50%,75%,max
A,122.0,33.5655737704918,59.754869465799004,0.0,0.0,7.0,28.0,281.0
B,117.0,23.675213675213676,47.98020947256833,0.0,0.0,7.0,14.0,211.0
C,115.0,30.130434782608695,71.77933066846484,0.0,0.0,7.0,14.0,505.0
D,115.0,36.29565217391304,83.86381754494181,0.0,0.0,7.0,14.0,512.0
E,90.0,34.94444444444444,67.24654639828634,0.0,0.0,7.0,14.0,253.0
F,116.0,27.74137931034483,53.72815967841059,0.0,0.0,7.0,21.0,330.0
G,123.0,28.78048780487805,57.33601514359872,0.0,0.0,7.0,14.0,295.0
H,126.0,28.706349206349206,52.71023695037881,0.0,0.0,7.0,21.0,323.0
I,121.0,26.768595041322314,47.729054800784695,0.0,0.0,7.0,21.0,197.0
