crossroad,count,mean,std,min,25%,50%,75%,max
A,952.0,15.154411764705882,11.732126772332911,8.0,8.0,17.0,17.0,154.0
B,904.0,9.440265486725664,9.056655337899592,3.0,3.0,3.0,12.0,95.0
C,900.0,12.633333333333333,9.772324773533757,7.0,7.0,7.0,16.0,135.0
D,956.0,9.317991631799163,13.773688040788354,0.0,0.0,9.0,9.0,146.0
E,754.0,8.075596816976127,12.848627904144726,1.0,1.0,1.0,10.0,129.0
F,981.0,14.63098878695209,12.79438723963087,6.0,6.0,15.0,15.0,134.0
G,1053.0,13.604938271604938,14.381733976410468,2.0,2.0,11.0,20.0,157.0
H,1040.0,13.223076923076922,13.21009057234628,4.0,4.0,13.0,13.0,150.0
I,940.0,11.496808510638298,10.737798158485113,5.0,5.0,5.0,14.0,124.0
